track_name,artist,album,duration_ms,genres,year
Mother's Children Have a Hard Time,Blind Willie Johnson,The Complete Blind Willie Johnson,201333,"['indie pop', 'indietronica', 'modern rock', 'pop', 'rock']",1970
We Belong Together,Mariah Carey,The Emancipation of Mimi,201400,"['pop rap', 'rap', 'trap', 'underground hip hop', 'viral trap']",1970
Ain't Misbehavin',Louis Armstrong,The Essential Louis Armstrong,201493,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
Exhale - Shoop Shoop,Whitney Houston,Whitney The Greatest Hits,201573,"['album rock', 'hard rock', 'nwobhm', 'rock']",1970
Goodnight Irene,The Weavers,Goodnight Irene,201600,"['baroque', 'classical', 'early music', 'german baroque']",1970
When It's Springtime In The Rockies,Various Artists,Top Hits Of The 1930s,201827,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock', 'tropical']",1970
Stompin' At The Savoy,Various Artists,Top Hits Of The 1930s,202093,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",1970
Crazy Blues,Mamie Smith,Mamie Smith Vol. 1 (1920-1921),202240,"['contemporary country', 'outlaw country']",1970
I Can't Give You Anything But Love,Louis Armstrong,The Essential Louis Armstrong,202267,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1970
Stressed Out,Twenty One Pilots,Blurryface,202333,"['dark trap', 'new orleans rap', 'underground hip hop']",1970
Doctor Jazz Stomp,Jelly Roll Morton,Jelly Roll Blues,202547,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",1970
Harbor Lights,Sammy Kaye,Harbor Lights,202572,['neo mellow'],1970
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),202627,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
Moves Like Jagger,Maroon 5,Singles,202640,"['new wave', 'permanent wave', 'rock']",1970
Black or White - Single Version,Michael Jackson,The Essential Michael Jackson,202853,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",1970
Sweet and Lovely,Various Artists,Top Hits Of The 1930s,203067,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1970
Pine Top's Boogie Woogie,Various Artists,"Shake Your Wicked Knees: Classic Piano Rags, Blues & Stomps 1928 - 43",203200,"['atl hip hop', 'melodic rap', 'rap', 'trap']",1970
Black and Tan Fantasy,Duke Ellington,The Essential Duke Ellington,203373,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",1970
Les feuilles mortes,Yves Montand,Yves Montand - Les feuilles mortes,203382,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']",1970
One Two Step (feat. Missy Elliott),Ciara,Goodies,203787,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",1970
Frankie,Mississippi John Hurt,Frankie got the blues,204000,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",1970
Timber (feat. Ke$ha),Pitbull,Global Warming: Meltdown (Deluxe Version),204160,['arabesk'],1970
Blue Yodel #1 (t For Texas),Jimmie Rodgers,The Very Best Of,204200,['soft rock'],1970
Riptide,Vance Joy,Dream Your Life Away,204280,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie']",1970
Too Young,Nat King Cole,The Nat King Cole Story,204627,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",1970
Right Round,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),204640,"['rap conciencia', 'venezuelan hip hop']",1970
Walk Like an Egyptian,The Bangles,The Essential Bangles,204707,"['alternative metal', 'canadian pop punk', 'canadian punk', 'nu metal', 'pop punk', 'punk']",1970
The Object Of My Affection,Various Artists,Top Hits Of The 1930s,204827,"['forro', 'piseiro']",1970
My Man,Various Artists,Broadway: The American Musical,205187,['alternative metal'],1970
Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,205493,"['k-pop', 'k-pop boy group']",1970
Love Is The Sweetest Thing,Various Artists,Top Hits Of The 1930s,205493,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",1970
What Do You Mean?,Justin Bieber,Purpose (Deluxe),205680,['a cappella'],1970
